date,bucket_label,bucket_idx,bucket_low,bucket_high,market_prob,model_prob,bid_price,ask_price,volume,actual_outcome,actual_tmax
2025-01-04,Below -10,0,,-10.0,0.04283787258094699,0.008056433836031253,0.01,0.08941084277447123,29,0,26.0
2025-01-04,-10--8,1,-10.0,-8.0,0.01,0.002477255887935537,0.01,0.0592,4,0,26.0
2025-01-04,-8--6,2,-8.0,-6.0,0.01,0.003116333030432945,0.01,0.0592,5,0,26.0
2025-01-04,-6--4,3,-6.0,-4.0,0.01,0.003881632098918293,0.01,0.0592,5,0,26.0
2025-01-04,-4--2,4,-4.0,-2.0,0.07127259095350376,0.004787209054360274,0.026974398229784056,0.11557078367722345,6,0,26.0
2025-01-04,-2-0,5,-2.0,0.0,0.01,0.005845853555470865,0.01,0.0592,6,0,26.0
2025-01-04,0-2,6,0.0,2.0,0.01,0.007068235101193861,0.01,0.0592,12,0,26.0
2025-01-04,2-4,7,2.0,4.0,0.012525134356822992,0.008461971499847148,0.01,0.06152312360827715,8,0,26.0
2025-01-04,4-6,8,4.0,6.0,0.01,0.010030663188581264,0.01,0.0592,7,0,26.0
2025-01-04,6-8,9,6.0,8.0,0.05800723712905468,0.011772948810787519,0.012647816099379053,0.1033666581587303,5,0,26.0
2025-01-04,8-10,10,8.0,10.0,0.07811641312572087,0.013681647044364115,0.034365726175778544,0.1218671000756632,14,0,26.0
2025-01-04,10-12,11,10.0,12.0,0.015895463801358443,0.015743055573588183,0.01,0.06462382669724978,11,0,26.0
2025-01-04,12-14,12,12.0,14.0,0.01,0.017936479046951892,0.01,0.0592,14,0,26.0
2025-01-04,14-16,13,14.0,16.0,0.08803890109663598,0.020234052890551357,0.04508201318436685,0.1309957890089051,15,0,26.0
2025-01-04,16-18,14,16.0,18.0,0.07873065804763855,0.02260091843700779,0.035029110691449636,0.12243220540382747,15,0,26.0
2025-01-04,18-20,15,18.0,20.0,0.01,0.02499578706218286,0.01,0.0592,10,0,26.0
2025-01-04,20-22,16,20.0,22.0,0.02944114133252241,0.027371907650910132,0.01,0.07708585002592061,18,0,26.0
2025-01-04,22-24,17,22.0,24.0,0.08802448146665931,0.029678424180089924,0.045066439983992054,0.13098252294932655,14,0,26.0
2025-01-04,24-26,18,24.0,26.0,0.035429861403802956,0.03186208056780088,0.01,0.08259547249149873,20,0,26.0
2025-01-04,26-28,19,26.0,28.0,0.021784634287359262,0.03386920070067512,0.01,0.07004186354437052,21,1,26.0
2025-01-04,28-30,20,28.0,30.0,0.01,0.03564784545119992,0.01,0.0592,18,0,26.0
2025-01-04,30-32,21,30.0,32.0,0.015633163711725576,0.03715002820234331,0.01,0.06438251061478753,11,0,26.0
2025-01-04,32-34,22,32.0,34.0,0.07403691682749772,0.0383338582138909,0.029959870173697528,0.1181139634812979,16,0,26.0
2025-01-04,34-36,23,34.0,36.0,0.01,0.039165478747937355,0.01,0.0592,13,0,26.0
2025-01-04,36-38,24,36.0,38.0,0.052599407093996034,0.039620674997860095,0.01,0.09839145452647635,14,0,26.0
2025-01-04,38-40,25,38.0,40.0,0.043563201209939804,0.03968604530095038,0.01,0.09007814511314463,18,0,26.0
2025-01-04,40-42,26,40.0,42.0,0.01,0.039359656590300385,0.01,0.0592,12,0,26.0
2025-01-04,42-44,27,42.0,44.0,0.01,0.03865113935303288,0.01,0.0592,14,0,26.0
2025-01-04,44-46,28,44.0,46.0,0.01,0.037581215585789196,0.01,0.0592,10,0,26.0
2025-01-04,46-48,29,46.0,48.0,0.044788180327411296,0.036180692034006645,0.01,0.0912051259012184,9,0,26.0
2025-01-04,48-50,30,48.0,50.0,0.022172945137842504,0.03448898696713931,0.01,0.0703991095268151,14,0,26.0
2025-01-04,50-52,31,50.0,52.0,0.01,0.03255228877808547,0.01,0.0592,12,0,26.0
2025-01-04,52-54,32,52.0,54.0,0.10203991445717533,0.030421466329596747,0.060203107613749356,0.1438767213006013,6,0,26.0
2025-01-04,54-56,33,54.0,56.0,0.01,0.028149862606106746,0.01,0.0592,7,0,26.0
2025-01-04,56-58,34,56.0,58.0,0.019603132704707982,0.025791104283372945,0.01,0.06803488208833135,11,0,26.0
2025-01-04,58-60,35,58.0,60.0,0.01,0.023397050751191695,0.01,0.0592,9,0,26.0
2025-01-04,60-62,36,60.0,62.0,0.01,0.021015988300398525,0.01,0.0592,2,0,26.0
