date,bucket_label,bucket_idx,bucket_low,bucket_high,market_prob,model_prob,bid_price,ask_price,volume,actual_outcome,actual_tmax
2026-01-29,Below 0,0,,0.0,0.01,0.0001,0.01,0.0592,4,0,23.0
2026-01-29,0-2,1,0.0,2.0,0.016834230668374205,0.0001,0.01,0.06548749221490427,4,0,23.0
2026-01-29,2-4,2,2.0,4.0,0.06092609217912389,0.0001,0.015800179553453794,0.10605200480479399,3,0,23.0
2026-01-29,4-6,3,4.0,6.0,0.01,0.0001,0.01,0.0592,4,0,23.0
2026-01-29,6-8,4,6.0,8.0,0.01,0.0001,0.01,0.0592,4,0,23.0
2026-01-29,8-10,5,8.0,10.0,0.01,0.0001,0.01,0.0592,5,0,23.0
2026-01-29,10-12,6,10.0,12.0,0.033853565291462905,0.0001,0.01,0.08114528006814588,4,0,23.0
2026-01-29,12-14,7,12.0,14.0,0.01,0.0001,0.01,0.0592,12,0,23.0
2026-01-29,14-16,8,14.0,16.0,0.061158619209463944,0.0001,0.016051308746221057,0.10626592967270683,19,0,23.0
2026-01-29,16-18,9,16.0,18.0,0.07234218336199649,0.0001,0.02812955803095621,0.11655480869303678,39,0,23.0
2026-01-29,18-20,10,18.0,20.0,0.13664051026272217,0.0001,0.09757175108373994,0.1757092694417044,35,0,23.0
2026-01-29,20-22,11,20.0,22.0,0.04628522061940362,0.0001,0.01,0.09258240296985133,48,0,23.0
2026-01-29,22-24,12,22.0,24.0,0.027990421574883004,0.0001,0.01,0.07575118784889237,58,1,23.0
2026-01-29,24-26,13,24.0,26.0,0.05993187973437129,0.0001,0.014726430113120997,0.10513732935562159,72,0,23.0
2026-01-29,26-28,14,26.0,28.0,0.12783396661991864,0.0001,0.08806068394951214,0.16760724929032514,52,0,23.0
2026-01-29,28-30,15,28.0,30.0,0.136237246162307,0.0001,0.09713622585529157,0.17533826646932243,56,0,23.0
2026-01-29,30-32,16,30.0,32.0,0.1305937908515432,0.0001,0.09104129411966666,0.17014628758341976,27,0,23.0
2026-01-29,32-34,17,32.0,34.0,0.01,0.0001,0.01,0.0592,16,0,23.0
2026-01-29,34-36,18,34.0,36.0,0.09908097508884574,0.0001,0.05700745309595339,0.14115449708173808,14,0,23.0
2026-01-29,36-38,19,36.0,38.0,0.06865198050848004,0.0001,0.024144138949158435,0.11315982206780165,9,0,23.0
2026-01-29,38-40,20,38.0,40.0,0.027188144100120017,0.0001,0.01,0.07501309257211042,1,0,23.0
2026-01-29,40-42,21,40.0,42.0,0.01,0.0001,0.01,0.0592,6,0,23.0
2026-01-29,42-44,22,42.0,44.0,0.06431703560055667,0.0001,0.019462398448601204,0.10917167275251213,7,0,23.0
2026-01-29,44-46,23,44.0,46.0,0.01,0.0001,0.01,0.0592,4,0,23.0
2026-01-29,46-48,24,46.0,48.0,0.058339155472347366,0.00015808602485710007,0.013006287910135153,0.10367202303455958,3,0,23.0
2026-01-29,48-50,25,48.0,50.0,0.01,0.0005762499793049597,0.01,0.0592,4,0,23.0
